Date,Station_Index_Number,Maximum Temperature (°C),Minimum Temperature (°C),Rainfall (mm)
08.02.2022,Punalur (43354),35.6,20.5,0.0
08.02.2022,Alappuzha (43352),34.3,24.7,1.2
08.02.2022,Kottayam (43355),35.6,24.5,0.0
08.02.2022,Kochi Airport (43353),31.2,25.2,0.0
08.02.2022,CIAL Kochi (43336),34.2,23.1,0.0
08.02.2022,Vellanikkara (43357),35.6,20.5,0.0
08.02.2022,Palakkad (43335),35.7,24.3,0.0
08.02.2022,Karipur Airport (43320),31.8,22.3,0.0
08.02.2022,Kozhikode City (43314),33.6,23.8,0.0
08.02.2022,Kannur (43315),35.1,23.2,0.0
08.02.2022,Agathi Airport (43266),29.6,25.6,0.0
08.02.2022,Amini (43311),32,24,0.0
08.02.2022,Minicoy (43369),31.8,24.8,0.0
07.02.2022,Thiruvananthapuram City (43371),33.2,22.8,0.0
07.02.2022,Thiruvananthapuram Airport (43372),32.3,21.9,0.0
07.02.2022,Punalur (43354),36.2,19.5,tr
07.02.2022,Alappuzha (43352),35.3,24.7,0.0
07.02.2022,Kottayam (43355),35,22.8,0.0
07.02.2022,Kochi Airport (43353),30,24.2,0.0
07.02.2022,CIAL Kochi (43336),32.8,22.7,0.0
07.02.2022,Vellanikkara (43357),33.4,22.4,0.0
07.02.2022,Palakkad (43335),35.4,24.7,0.0
07.02.2022,Karipur Airport (43320),32.1,21.8,0.0
07.02.2022,Kozhikode City (43314),33.4,24,0.0
07.02.2022,Kannur (43315),34,22.7,0.0
07.02.2022,Agathi Airport (43266),30.2,24.8,0.0
07.02.2022,Amini (43311),31.7,22.6,0.0
07.02.2022,Minicoy (43369),31.7,24,0.0
06.02.2022,Thiruvananthapuram City (43371),34,24,0
06.02.2022,Thiruvananthapuram Airport (43372),32,23,0
06.02.2022,Punalur (43354),36,19.5,0
06.02.2022,Alappuzha (43352),35.2,24.1,0
06.02.2022,Kottayam (43355),35.6,22.4,0
06.02.2022,Kochi Airport (43353),29.6,23.6,0
06.02.2022,CIAL Kochi (43336),33.7,21.4,0
06.02.2022,Vellanikkara (43357),34,21.4,0
06.02.2022,Palakkad (43335),35.2,23.6,0
06.02.2022,Karipur Airport (43320),31,21.2,0
06.02.2022,Kozhikode City (43314),33.6,22.7,0
06.02.2022,Kannur (43315),33.6,20.3,0
06.02.2022,Agathi Airport (43266),29.8,24.2,0
06.02.2022,Amini (43311),31.8,22,0
06.02.2022,Minicoy (43369),31.7,21.9,0
05.02.2022,Thiruvananthapuram City (43371),35.1,22.3,0
05.02.2022,Thiruvananthapuram Airport (43372),32.8,21.2,0
05.02.2022,Punalur (43354),35.4,17,0
05.02.2022,Alappuzha (43352),36.2,22.8,0
05.02.2022,Kottayam (43355),36,21,0
05.02.2022,Kochi Airport (43353),30.6,21.8,0
05.02.2022,CIAL Kochi (43336),33.3,19.8,0
05.02.2022,Vellanikkara (43357),33.1,19.5,0
05.02.2022,Palakkad (43335),35.3,21.7,0
05.02.2022,Karipur Airport (43320),31.5,19.7,0
05.02.2022,Kozhikode City (43314),34.5,21,0
05.02.2022,Kannur (43315),34.2,19.9,0
05.02.2022,Agathi Airport (43266),30.2,23.8,0
05.02.2022,Amini (43311),32.7,21.5,0
05.02.2022,Minicoy (43369),31.7,22.9,0
04.02.2022,Thiruvananthapuram City (43371),33.4,24.3,0
04.02.2022,Thiruvananthapuram Airport (43372),32.2,23.2,0
04.02.2022,Punalur (43354),35,20,0
04.02.2022,Alappuzha (43352),34.6,24.8,0
04.02.2022,Kottayam (43355),35,23,0
04.02.2022,Kochi Airport (43353),31,24.6,0
04.02.2022,CIAL Kochi (43336),33.8,22.2,0
04.02.2022,Vellanikkara (43357),34.2,21.7,0
04.02.2022,Palakkad (43335),35.6,22.7,0
04.02.2022,Karipur Airport (43320),32.4,21.4,0
04.02.2022,Kozhikode City (43314),34.8,23.4,0
04.02.2022,Kannur (43315),34.4,22,0
04.02.2022,Agathi Airport (43266),30.6,26.2,0
04.02.2022,Amini (43311),32.5,23.5,0
04.02.2022,Minicoy (43369),32.1,24.3,0
03.02.2022,Thiruvananthapuram City (43371),34.3,24,0
03.02.2022,Thiruvananthapuram Airport (43372),32.4,22.7,0
03.02.2022,Punalur (43354),36.4,20.5,0
03.02.2022,Alappuzha (43352),36.2,25.5,0
03.02.2022,Kottayam (43355),36,24.5,0
03.02.2022,Kochi Airport (43353),31,25.6,0
03.02.2022,CIAL Kochi (43336),34.7,23.4,0
03.02.2022,Vellanikkara (43357),36.2,23.6,0
03.02.2022,Palakkad (43335),35,23.7,0
03.02.2022,Karipur Airport (43320),33.4,22.6,0
03.02.2022,Kozhikode City (43314),35,25.5,0.1
03.02.2022,Kannur (43315),35.9,24.5,0
03.02.2022,Agathi Airport (43266),31,26,0
03.02.2022,Amini (43311),33,25.6,0
03.02.2022,Minicoy (43369),32.2,25.6,0
02.02.2022,Thiruvananthapuram City (43371),33.8,23.8,0
02.02.2022,Thiruvananthapuram Airport (43372),32,22.2,0
02.02.2022,Punalur (43354),36.2,18.5,0
02.02.2022,Alappuzha (43352),34.8,25,0
02.02.2022,Kottayam (43355),36,23.6,0
02.02.2022,Kochi Airport (43353),33,25.8,3.2
02.02.2022,CIAL Kochi (43336),35.1,24,0
02.02.2022,Vellanikkara (43357),35.1,23.3,0
02.02.2022,Palakkad (43335),33.2,22.6,0
02.02.2022,Karipur Airport (43320),33.7,22.8,0
02.02.2022,Kozhikode City (43314),35.1,25,0
02.02.2022,Kannur (43315),34.4,25.1,0
02.02.2022,Agathi Airport (43266),31.2,27,0
02.02.2022,Amini (43311),33,24.7,0
02.02.2022,Minicoy (43369),32.4,25,0
01.02.2022,Thiruvananthapuram City (43371),34,24.2,0
01.02.2022,Thiruvananthapuram Airport (43372),32,23.2,0
01.02.2022,Punalur (43354),36.6,20,0
01.02.2022,Alappuzha (43352),35.1,25.3,0
01.02.2022,Kottayam (43355),35.7,24.3,0
01.02.2022,Kochi Airport (43353),31.4,25.4,0
01.02.2022,CIAL Kochi (43336),35.8,23,0
01.02.2022,Vellanikkara (43357),34.9,23.9,0
01.02.2022,Palakkad (43335),35.1,24.7,0
01.02.2022,Karipur Airport (43320),33.1,22.7,0
01.02.2022,Kozhikode City (43314),35.4,25.6,0
01.02.2022,Kannur (43315),35.9,24.9,0
01.02.2022,Agathi Airport (43266),31.4,26.2,0
01.02.2022,Amini (43311),32.7,24.4,0
01.02.2022,Minicoy (43369),32.6,23.9,0
31.01.2022,Thiruvananthapuram City (43371),34.6,24.1,0
31.01.2022,Thiruvananthapuram Airport (43372),32.2,23.1,0
31.01.2022,Punalur (43354),36.8,18.5,0
31.01.2022,Alappuzha (43352),35,24.7,0
31.01.2022,Kottayam (43355),36.4,23.5,0
31.01.2022,Kochi Airport (43353),32.4,24.6,0
31.01.2022,CIAL Kochi (43336),36.1,22.9,0
31.01.2022,Vellanikkara (43357),35,24,0
31.01.2022,Palakkad (43335),32.7,23.4,0
31.01.2022,Karipur Airport (43320),34.7,23.3,0
31.01.2022,Kozhikode City (43314),35.2,25.4,0
31.01.2022,Kannur (43315),36.3,24.5,0
31.01.2022,Agathi Airport (43266),31.2,26.2,0
31.01.2022,Amini (43311),33,24.5,0
31.01.2022,Minicoy (43369),32.5,24,0
30.01.2022,Thiruvananthapuram City (43371),35,23,0
30.01.2022,Thiruvananthapuram Airport (43372),32.4,22,0
30.01.2022,Punalur (43354),35.4,18.5,0
30.01.2022,Alappuzha (43352),34.5,24.6,0
30.01.2022,Kottayam (43355),37.3,23.2,0
30.01.2022,Kochi Airport (43353),32.4,24,0
30.01.2022,CIAL Kochi (43336),35.2,22.4,0
30.01.2022,Vellanikkara (43357),34,23.7,0
30.01.2022,Palakkad (43335),32,23.8,0
30.01.2022,Karipur Airport (43320),34.4,22.6,0
30.01.2022,Kozhikode City (43314),35.2,24.4,0
30.01.2022,Kannur (43315),35.4,24.9,0
30.01.2022,Agathi Airport (43266),31.8,26.4,0
30.01.2022,Amini (43311),31.6,24.5,0
30.01.2022,Minicoy (43369),32.1,25.7,0.6
29.01.2022,Thiruvananthapuram City (43371),34,23,0
29.01.2022,Thiruvananthapuram Airport (43372),32.4,21,0
29.01.2022,Punalur (43354),35.4,19,0
29.01.2022,Alappuzha (43352),34.5,24,0
29.01.2022,Kottayam (43355),36.5,22.4,0
29.01.2022,Kochi Airport (43353),32,23.2,0
29.01.2022,CIAL Kochi (43336),35.1,21.8,0
29.01.2022,Vellanikkara (43357),33.7,25.4,0
29.01.2022,Palakkad (43335),31.6,25.9,0
29.01.2022,Karipur Airport (43320),34.2,19.9,0
29.01.2022,Kozhikode City (43314),34.9,24,0
29.01.2022,Kannur (43315),36,24.5,0
29.01.2022,Agathi Airport (43266),30.4,26.4,0
29.01.2022,Amini (43311),33,24,0
29.01.2022,Minicoy (43369),30.7,23.7,0
